date, pm25, pm10, o3, no2, so2, co
2025/5/7, 95, 63, 21, 5, 4, 2
2025/5/8, 99, 62, 20, 4, 4, 2
2025/5/9, 88, 68, 20, 3, 5, 3
2025/5/10, 96, 64, 15, 4, 4, 4
2025/5/11, 93, 66, 13, 3, 4, 4
2025/5/12, 94, 58, 14, 2, 4, 4
2025/5/13, 95, 63, 14, 3, 3, 4
2025/5/14, 96, 63, 12, 2, 3, 3
2025/5/15, 93, 80, 12, 3, 3, 2
2025/5/16, 90, 68, 14, 4, 4, 3
2025/5/17, 95, 66, 7, 5, 20, 3
2025/5/18, 97, 71, 12, 4, 40, 2
2025/5/19, 90, 64, 16, 4, 7, 2
2025/5/20, 91, 63, 13, 4, 19, 2
2025/5/21, 90, 66, 16, 4, 46, 2
2025/5/22, 105, 61, 15, 4, 2, 2
2025/5/23, 96, 61, 14, 5, 4, 3
2025/5/24, 87, 66, 18, 3, 5, 3
2025/5/25, 91, 66, 19, 3, 2, 3
2025/5/26, 95, 62, 14, 4, 1, 3
2025/5/27, 95, 63, 17, 4, 1, 3
2025/5/28, 96, 70, 18, 4, 24, 2
2025/5/29, 94, 67, 14, 5, 6, 2
2025/5/30, 89, 67, 19, 5, 3, 2
2025/5/31, 95, 65, 18, 3, 54, 2
2025/6/1, 90, 63, 13, 3, 3, 2
2025/6/2, 88, 63, 14, 5, , 2
2025/6/3, 89, 64, 14, 5, , 2
2025/6/4, 87, 63, 13, 4, 5, 2
2025/6/5, 85, 63, 12, 5, 5, 2
2025/6/6, 90, 64, 12, 4, 4, 2
2025/6/7, 89, 65, 14, 4, 4, 2
2025/6/8, 89, 62, 14, 4, 5, 2
2025/6/9, 93, 65, 16, 4, 3, 2
2025/6/10, 93, 62, 17, 4, 4, 2
2025/6/11, 96, 66, 17, 4, 24, 2
2025/6/12, 102, 73, 18, 5, 4, 2
2025/6/13, 95, 57, 17, 5, 5, 2
2025/6/14, 100, 56, 29, 3, 5, 2
2025/6/15, 103, 57, 14, 3, 5, 2
2025/6/16, 93, 59, 14, 3, 4, 2
2025/6/17, 89, 61, 14, 3, 4, 2
2025/6/18, 90, 70, 11, 4, 4, 2
2025/6/19, 89, 62, 12, 4, 4, 2
2025/6/20, 91, 61, 12, 4, 4, 2
2025/6/21, 85, 62, 13, 4, 3, 2
2025/6/22, 86, 68, 11, 4, 3, 2
2025/6/23, 95, 66, 17, 5, 6, 2
